Date,AGGH.MI,CSPX.L,EFA,GLD,TIP,TLT,VNQ,XEON.MI,SPY,AGG,BIL
2022-07-01,89.18783569335938,362.31573486328125,56.645233154296875,168.32000732421875,101.0643081665039,99.66178131103516,79.34927368164062,77.34587860107422,362.31573486328125,89.18783569335938,77.34587860107422
2022-07-04,89.18783569335938,362.31573486328125,56.645233154296875,168.32000732421875,101.0643081665039,99.66178131103516,79.34927368164062,77.34587860107422,362.31573486328125,89.18783569335938,77.34587860107422
2022-07-05,89.35336303710938,363.0000305175781,55.4334716796875,164.75,100.78350830078125,100.44482421875,79.12684631347656,77.34587860107422,363.0000305175781,89.35336303710938,77.34587860107422
2022-07-06,88.75204467773438,364.2259826660156,55.47869110107422,162.13999938964844,99.87088775634766,98.75824737548828,78.98140716552734,77.34587860107422,364.2259826660156,88.75204467773438,77.34587860107422
2022-07-07,88.55162048339844,369.68109130859375,56.31968688964844,162.22999572753906,99.71293640136719,97.88919067382812,79.19529724121094,77.34587860107422,369.68109130859375,88.55162048339844,77.34587860107422
2022-07-08,88.22045135498047,369.3769836425781,56.38298797607422,162.3000030517578,99.60765838623047,96.80494689941406,78.77609252929688,77.33740997314453,369.3769836425781,88.22045135498047,77.33740997314453
2022-07-11,88.63004302978516,365.1573181152344,55.46964645385742,161.42999267578125,99.76558685302734,98.47431945800781,78.60498809814453,77.34587860107422,365.1573181152344,88.63004302978516,77.34587860107422
2022-07-12,88.75204467773438,361.9260559082031,55.46060562133789,160.8300018310547,99.7304916381836,99.05944061279297,78.29701232910156,77.33740997314453,361.9260559082031,88.75204467773438,77.33740997314453
2022-07-13,89.07450866699219,360.0253601074219,55.4334716796875,161.60000610351562,100.24821472167969,100.19526672363281,77.92058563232422,77.33740997314453,360.0253601074219,89.07450866699219,77.33740997314453
2022-07-14,88.76075744628906,359.15106201171875,54.65578079223633,159.3300018310547,100.00249481201172,99.3778076171875,77.21905517578125,77.34587860107422,359.15106201171875,88.76075744628906,77.34587860107422
2022-07-15,89.10933685302734,366.0126953125,55.52390670776367,159.00999450683594,100.5816879272461,99.93712615966797,78.52799224853516,77.33740997314453,366.0126953125,89.10933685302734,77.33740997314453
2022-07-18,88.82177734375,362.99053955078125,55.74998474121094,159.16000366210938,100.45003509521484,98.89593505859375,77.97191619873047,77.33740997314453,362.99053955078125,88.82177734375,77.33740997314453
2022-07-19,88.69976806640625,372.79815673828125,57.26919937133789,159.5399932861328,100.3447494506836,98.36241912841797,79.99092864990234,77.33740997314453,372.79815673828125,88.69976806640625,77.33740997314453
2022-07-20,88.63877868652344,375.1741638183594,56.889400482177734,158.0399932861328,100.25701904296875,98.62059020996094,79.8027114868164,77.33740997314453,375.1741638183594,88.63877868652344,77.33740997314453
2022-07-21,89.3795166015625,378.99456787109375,57.47718811035156,160.27000427246094,100.88004302978516,100.32434844970703,80.43580627441406,77.36277770996094,378.99456787109375,89.3795166015625,77.36277770996094
2022-07-22,90.07673645019531,375.47833251953125,57.33250427246094,160.6699981689453,101.73124694824219,102.01091003417969,80.8550033569336,77.37124633789062,375.47833251953125,90.07673645019531,77.37124633789062
2022-07-25,89.74556732177734,375.93438720703125,57.775604248046875,160.22999572753906,101.53819274902344,101.01274108886719,80.99188232421875,77.36277770996094,375.93438720703125,89.74556732177734,77.36277770996094
2022-07-26,89.7281494140625,371.4867248535156,56.97078323364258,160.0399932861328,101.53819274902344,101.09021759033203,81.07743072509766,77.36277770996094,371.4867248535156,89.7281494140625,77.36277770996094
2022-07-27,90.04188537597656,381.1329040527344,58.318180084228516,161.6699981689453,102.18753051757812,100.52227783203125,81.56507110595703,77.36277770996094,381.1329040527344,90.04188537597656,77.36277770996094
2022-07-28,90.68675231933594,385.9132385253906,58.616607666015625,163.63999938964844,103.23180389404297,101.322509765625,84.2086181640625,77.37124633789062,385.9132385253906,90.68675231933594,77.37124633789062
2022-07-29,90.69548797607422,391.53936767578125,59.430477142333984,164.10000610351562,103.74954986572266,101.04716491699219,84.66205596923828,77.37970733642578,391.53936767578125,90.69548797607422,77.37970733642578
2022-08-01,91.00980377197266,390.37994384765625,59.51185607910156,165.02999877929688,103.79737854003906,103.48074340820312,83.97764587402344,77.38563537597656,390.37994384765625,91.00980377197266,77.38563537597656
2022-08-02,90.07552337646484,387.8044128417969,58.56235122680664,164.0500030517578,102.5744857788086,101.2911376953125,82.89969635009766,77.39412689208984,387.8044128417969,90.07552337646484,77.39412689208984
2022-08-03,90.4771957397461,393.87725830078125,58.90597152709961,164.4499969482422,103.11503601074219,102.88593292236328,83.1648941040039,77.38563537597656,393.87725830078125,90.4771957397461,77.38563537597656
2022-08-04,90.69549560546875,393.61114501953125,59.204410552978516,167.1699981689453,103.09732818603516,102.85142517089844,83.03656005859375,77.40258026123047,393.61114501953125,90.69549560546875,77.40258026123047
2022-08-05,89.6825942993164,392.9458923339844,58.78841781616211,165.2899932861328,102.06048583984375,100.40316772460938,83.2675552368164,77.41951751708984,392.9458923339844,89.6825942993164,77.41951751708984
2022-08-08,90.09300994873047,392.48968505859375,58.92406463623047,166.69000244140625,102.76058197021484,102.02386474609375,84.0118637084961,77.42798614501953,392.48968505859375,90.09300994873047,77.42798614501953
2022-08-09,89.89215087890625,390.93115234375,58.60755920410156,167.1999969482422,102.46813201904297,101.62730407714844,84.47383117675781,77.41951751708984,390.93115234375,89.89215087890625,77.41951751708984
2022-08-10,90.11920928955078,399.14227294921875,59.927833557128906,166.77999877929688,102.29086303710938,100.96351623535156,85.75711822509766,77.42798614501953,399.14227294921875,90.11920928955078,77.42798614501953
2022-08-11,89.63893127441406,399.14227294921875,59.909751892089844,166.33999633789062,101.94529724121094,98.61013793945312,85.55179595947266,77.42798614501953,399.14227294921875,89.63893127441406,77.42798614501953
2022-08-12,90.04058074951172,405.8993225097656,60.370948791503906,167.8699951171875,102.34406280517578,99.61013793945312,87.02327728271484,77.44490814208984,405.8993225097656,90.04058074951172,77.44490814208984
2022-08-15,90.15409851074219,407.5719909667969,60.009220123291016,165.7100067138672,102.23774719238281,99.52388000488281,87.37403106689453,77.43645477294922,407.5719909667969,90.15409851074219,77.43645477294922
2022-08-16,90.02311706542969,408.37030029296875,59.99113464355469,165.4199981689453,102.26432037353516,99.93770599365234,87.14305877685547,77.44490814208984,408.37030029296875,90.02311706542969,77.44490814208984
2022-08-17,89.49050903320312,405.4716796875,59.51185607910156,164.35000610351562,101.95415496826172,98.89464569091797,86.6211929321289,77.44490814208984,405.4716796875,89.49050903320312,77.44490814208984
2022-08-18,89.6825942993164,406.6501159667969,59.31291580200195,163.9199981689453,102.47700500488281,99.04117584228516,86.04800415039062,77.47882080078125,406.6501159667969,89.6825942993164,77.47882080078125
2022-08-19,89.0539321899414,401.1855773925781,58.49905014038086,162.72000122070312,102.29978942871094,97.44636535644531,85.1411361694336,77.47882080078125,401.1855773925781,89.0539321899414,77.47882080078125
2022-08-22,88.66974639892578,392.83184814453125,57.50431823730469,161.63999938964844,102.10479736328125,97.1187973022461,83.28466796875,77.48725891113281,392.83184814453125,88.66974639892578,77.48725891113281
2022-08-23,88.63480377197266,391.8815612792969,57.53144454956055,162.77000427246094,102.27320098876953,96.58432006835938,82.21526336669922,77.4703369140625,391.8815612792969,88.63480377197266,77.4703369140625
2022-08-24,88.39905548095703,393.1359558105469,57.603790283203125,163.25,102.2554931640625,95.87743377685547,82.68580627441406,77.4957275390625,393.1359558105469,88.39905548095703,77.4957275390625
2022-08-25,88.88798522949219,398.68603515625,58.23680114746094,163.75,102.5744857788086,97.21360778808594,83.9177474975586,77.50420379638672,398.68603515625,88.88798522949219,77.50420379638672
2022-08-26,88.72212982177734,385.19091796875,56.70853042602539,161.75999450683594,102.4238052368164,97.94638061523438,81.80462646484375,77.50420379638672,385.19091796875,88.72212982177734,77.50420379638672
2022-08-29,88.29426574707031,382.6439514160156,56.58192825317383,161.86000061035156,102.0250473022461,97.13602447509766,81.06886291503906,77.50420379638672,382.6439514160156,88.29426574707031,77.50420379638672
2022-08-30,88.40777587890625,378.4433288574219,56.17499923706055,160.50999450683594,101.8478012084961,97.37740325927734,79.94815063476562,77.5126724243164,378.4433288574219,88.40777587890625,77.5126724243164
2022-08-31,87.9362564086914,375.5638427734375,55.79519271850586,159.27000427246094,100.94392395019531,96.4463882446289,79.57174682617188,77.52958679199219,375.5638427734375,87.9362564086914,77.52958679199219
2022-09-01,87.55482482910156,376.74224853515625,55.04462432861328,157.8699951171875,100.17926025390625,94.6806640625,79.7171630859375,77.54573059082031,376.74224853515625,87.55482482910156,77.54573059082031
2022-09-02,87.80853271484375,372.76971435546875,54.68291091918945,159.25999450683594,100.7716064453125,95.21623229980469,78.60498809814453,77.55419921875,372.76971435546875,87.80853271484375,77.55419921875
2022-09-05,87.80853271484375,372.76971435546875,54.68291091918945,159.25999450683594,100.7716064453125,95.21623229980469,78.60498809814453,77.55419921875,372.76971435546875,87.80853271484375,77.55419921875
2022-09-06,86.98607635498047,371.3631591796875,54.547264099121094,158.3300018310547,99.81124877929688,92.85784149169922,79.3150634765625,77.55419921875,371.3631591796875,86.98607635498047,77.55419921875
2022-09-07,87.58980560302734,378.03472900390625,55.02653884887695,159.94000244140625,100.22412872314453,94.32644653320312,80.86356353759766,77.56266784667969,378.03472900390625,87.58980560302734,77.56266784667969
2022-09-08,87.30982208251953,380.50567626953125,55.062713623046875,158.97999572753906,99.66767120361328,93.35887145996094,81.08598327636719,77.57963562011719,380.50567626953125,87.30982208251953,77.57963562011719
2022-09-09,87.30105590820312,386.4169616699219,56.46437072753906,159.82000732421875,99.71257019042969,93.56624603271484,81.96717071533203,77.57963562011719,386.4169616699219,87.30105590820312,77.57963562011719
2022-09-12,87.16983795166016,390.5699768066406,57.25111770629883,160.6300048828125,99.4163589477539,92.7973861694336,82.76280212402344,77.57115936279297,390.5699768066406,87.16983795166016,77.57115936279297
2022-09-13,86.67985534667969,373.5870666503906,55.26165771484375,158.5399932861328,99.12020111083984,93.0133285522461,79.59739685058594,77.58815002441406,373.5870666503906,86.67985534667969,77.58815002441406
2022-09-14,86.79360961914062,375.0125732421875,55.44252014160156,157.92999267578125,99.37149810791016,93.33296203613281,78.69053649902344,77.58815002441406,375.0125732421875,86.79360961914062,77.58815002441406
2022-09-15,86.53113555908203,370.7550048828125,54.954193115234375,154.97999572753906,98.86890411376953,93.27250671386719,77.23616027832031,77.61357879638672,370.7550048828125,86.53113555908203,77.61357879638672
2022-09-16,86.46990203857422,367.9265441894531,54.619606018066406,155.83999633789062,98.45604705810547,92.49504089355469,77.24472045898438,77.61357879638672,367.9265441894531,86.46990203857422,77.61357879638672
2022-09-19,86.3386459350586,370.7798156738281,54.80950927734375,155.9600067138672,98.00729370117188,92.71099853515625,77.13349151611328,77.61357879638672,370.7798156738281,86.3386459350586,77.61357879638672
2022-09-20,85.95365905761719,366.5237121582031,53.878082275390625,155.07000732421875,97.85472106933594,91.78665161132812,75.25990295410156,77.60508728027344,366.5237121582031,85.95365905761719,77.60508728027344
2022-09-21,86.22490692138672,360.1301574707031,53.17272186279297,155.7899932861328,98.04320526123047,93.32432556152344,74.07074737548828,77.62205505371094,360.1301574707031,86.22490692138672,77.62205505371094
2022-09-22,85.30621337890625,357.1051330566406,53.01899719238281,155.6999969482422,96.9302749633789,90.94007873535156,73.12967681884766,77.6559829711914,357.1051330566406,85.30621337890625,77.6559829711914
2022-09-23,85.04371643066406,351.1219177246094,51.32795715332031,153.00999450683594,96.51742553710938,91.3115005493164,72.15765380859375,77.6559829711914,351.1219177246094,85.04371643066406,77.6559829711914
2022-09-26,83.9500732421875,347.64837646484375,50.56834411621094,151.22999572753906,94.97372436523438,89.56649780273438,70.13407897949219,77.63900756835938,347.64837646484375,83.9500732421875,77.63900756835938
2022-09-27,83.59135437011719,346.7608947753906,50.22472381591797,151.5399932861328,94.47112274169922,87.20812225341797,69.2000961303711,77.6644515991211,346.7608947753906,83.59135437011719,77.6644515991211
2022-09-28,84.93872833251953,353.58392333984375,51.43647766113281,154.69000244140625,96.14046478271484,90.12799072265625,70.6356430053711,77.67295837402344,353.58392333984375,84.93872833251953,77.67295837402344
2022-09-29,84.49251556396484,346.1978759765625,50.83059310913086,154.66000366210938,94.79423522949219,89.6615219116211,68.56015014648438,77.68991088867188,346.1978759765625,84.49251556396484,77.68991088867188
2022-09-30,84.2912826538086,340.844482421875,50.64973449707031,154.6699981689453,94.1480484008789,88.50390625,69.32980346679688,77.68991088867188,340.844482421875,84.2912826538086,77.68991088867188
2022-10-03,84.97611236572266,349.84320068359375,51.65350341796875,158.42999267578125,95.35965728759766,89.91018676757812,70.56645202636719,77.66863250732422,349.84320068359375,84.97611236572266,77.66863250732422
2022-10-04,85.2040786743164,360.6836853027344,53.72434997558594,160.6999969482422,95.73658752441406,89.65908813476562,71.99334716796875,77.69414520263672,360.6836853027344,85.2040786743164,77.69414520263672
2022-10-05,84.75691986083984,359.8438415527344,53.15463638305664,159.80999755859375,94.98270416259766,88.80184173583984,70.58375549316406,77.69414520263672,359.8438415527344,84.75691986083984,77.69414520263672
2022-10-06,84.42369079589844,356.1318054199219,52.22321319580078,159.6300048828125,94.66856384277344,88.30823516845703,68.62068176269531,77.71112060546875,356.1318054199219,84.42369079589844,77.71112060546875
2022-10-07,83.97649383544922,346.1978759765625,51.39126205444336,157.8800048828125,94.6955337524414,87.45094299316406,66.96894836425781,77.71112060546875,346.1978759765625,83.97649383544922,77.71112060546875
2022-10-10,83.59942626953125,343.55462646484375,51.10188674926758,155.47999572753906,94.1570053100586,86.09141540527344,66.33766174316406,77.71965026855469,343.55462646484375,83.59942626953125,77.71965026855469
2022-10-11,83.65206909179688,341.3787841796875,50.541221618652344,155.16000366210938,94.6955337524414,86.47245025634766,67.01217651367188,77.71965026855469,341.3787841796875,83.65206909179688,77.71965026855469
2022-10-12,83.72221374511719,340.2527770996094,50.37844467163086,155.99000549316406,94.88398742675781,86.89678192138672,66.31171417236328,77.71965026855469,340.2527770996094,83.72221374511719,77.71965026855469
2022-10-13,83.45917510986328,349.23248291015625,51.418392181396484,154.91000366210938,94.77626037597656,86.0654296875,67.52241516113281,77.74510192871094,349.23248291015625,83.45917510986328,77.74510192871094
2022-10-14,83.00320434570312,341.27392578125,50.64973449707031,152.97999572753906,94.85706329345703,85.35536193847656,65.8447265625,77.74510192871094,341.27392578125,83.00320434570312,77.74510192871094
2022-10-17,83.17853546142578,350.0435791015625,51.897666931152344,153.4199981689453,95.11734771728516,84.93972778320312,68.32667541503906,77.74510192871094,350.0435791015625,83.17853546142578,77.74510192871094
2022-10-18,83.31885528564453,354.156494140625,52.2684326171875,153.75,94.86604309082031,85.13890075683594,69.07038116455078,77.74510192871094,354.156494140625,83.31885528564453,77.74510192871094
2022-10-19,82.5998764038086,351.6466979980469,51.626380920410156,151.69000244140625,94.38138580322266,83.58885955810547,67.34944915771484,77.74510192871094,351.6466979980469,82.5998764038086,77.74510192871094
2022-10-20,82.10003662109375,348.6980895996094,51.508819580078125,151.4499969482422,94.29161834716797,82.16006469726562,67.055419921875,77.77912139892578,348.6980895996094,82.10003662109375,77.77912139892578
